id,ra,dec,mag
191,89.6067087,-69.9125907,9.563
192,20.8534346,-40.5739552,14.229
193,173.9725059,49.6987218,9.974
194,149.9946034,0.6900124,14.928
195,193.6430638,-63.1663161,15.446
196,18.0540367,-2.0695143,16.660
197,276.1724709,44.5667030,15.311
198,209.9968756,10.5617636,15.661
199,232.3435211,-50.5904706,10.460
200,173.6290190,-29.4907410,13.566
201,295.8950539,-56.0284363,11.822
202,47.8071217,-21.5595047,8.705
203,212.7469886,50.5025286,16.438
204,89.6921055,-39.0940049,17.781
205,108.1517190,59.9686940,11.179
206,81.2937737,60.3477747,16.459
207,268.6727069,-69.2961072,12.167
208,261.7236367,6.2492343,17.935
209,69.0202477,-62.6843872,16.256
210,238.3721216,-74.3489154,11.953
211,221.4776768,-32.9571608,10.449
212,192.8043483,-79.7257322,15.146
213,245.4303825,10.3589270,15.247
214,82.2561349,-59.2384071,16.765
215,259.9369712,-49.8724521,8.156
216,247.0719784,-58.0466352,11.395
217,268.2536154,21.9980734,9.492
218,95.1560025,-21.0264142,13.322
219,14.4174499,36.0092715,14.924
220,137.3106197,-9.8924194,8.375
221,224.4111342,82.4952343,17.171
222,265.8645316,-14.1021136,10.030
223,162.4038031,32.1396608,16.661
224,65.6941894,-4.8309530,13.325
225,218.0331866,-4.4419856,9.553
226,228.5014333,-12.1570835,13.433
227,123.7566740,-34.3011393,14.801
228,96.7864317,-21.7662186,14.754
229,269.0259568,-1.0050068,12.987
230,115.6674408,-4.6273017,10.098
231,333.2836607,35.6958344,11.993
232,116.7582700,31.1221649,15.838
233,71.2464363,40.6185859,11.529
234,244.6284277,-16.9083191,17.367
235,84.1407596,27.5919539,12.874
236,182.6014281,45.3378030,10.693
237,181.1267441,-3.0292176,17.812
238,333.8272238,59.2003209,10.605
239,282.6358772,64.9742808,9.661
240,334.1022295,-9.5002572,17.310
241,168.4275330,81.6457010,13.737
242,83.4317121,-70.3394314,9.353
243,148.0141612,-7.6621822,12.987
244,103.9521079,-54.6090696,9.081
245,345.5302465,18.2196367,17.920
246,334.0168519,8.0833226,9.399
247,344.7080201,-3.4073999,12.177
248,224.2110849,-18.5631808,11.758
249,239.2779593,-79.6273177,10.969
250,111.3281430,-19.9419429,12.046
251,343.9707730,-0.8655998,14.686
252,36.9160305,33.6890231,16.949
253,305.9100555,71.6844243,12.738
254,328.0341097,4.1674978,16.066
255,138.0044958,20.9414871,15.328
256,77.5109652,5.3733185,14.308
257,266.7095278,-4.5500576,12.228
258,8.3192167,-6.1643043,17.099
259,180.0905275,37.1809522,8.470
260,201.2496799,-11.3194349,13.559
261,27.6381587,29.4210669,8.958
262,179.9264352,51.7729087,12.623
263,116.3310694,12.8266401,13.945
264,336.9076990,28.7185117,16.915
265,208.7134709,57.3522621,14.437
266,132.0537446,39.3952791,8.097
267,212.4990798,38.3189031,17.085
268,11.3357862,7.5394271,8.613
269,220.7292701,-13.2781257,14.173
270,31.3631559,46.1015794,15.936
271,236.3717571,-50.9827709,17.815
272,131.6567137,-51.0657722,13.569
273,48.9281332,-63.4546317,11.937
274,47.2702293,-52.4503731,8.733
275,141.0633106,-30.1171102,15.527
276,211.7489683,73.3436790,10.319
277,333.2249979,42.8461421,14.043
278,303.9768642,39.8427408,16.264
279,135.3589189,28.5429905,13.549
280,37.7905984,-8.6579994,15.820
281,156.4986375,-42.7173709,9.128
282,179.9636878,-40.2741151,16.693
283,90.0037860,-7.1128902,11.008
284,263.3554418,34.5663209,15.904
285,194.5516647,55.8543446,14.123
286,338.6823733,-30.1321614,14.108
287,268.2346587,40.9126955,10.242
288,271.8259407,35.8009553,16.529
289,83.7387718,12.1656268,17.743
290,44.6545274,69.3946660,8.734
291,205.3607552,-27.5302393,12.635
292,89.2694003,-68.3158370,8.308
293,282.0386975,-14.2160964,13.506
294,295.8312700,16.2987053,10.320
295,27.3187915,-29.6629656,14.017
296,356.2451228,15.3396045,10.138
297,58.5843932,40.7684047,12.031
298,106.2252478,15.0523485,16.393
299,107.2530858,-69.2739066,11.902
300,3.6274739,-50.0871406,8.414
301,141.1549114,-16.1039255,8.948
302,232.2768727,-14.5499067,13.021
303,221.8846448,6.8413326,10.047
304,95.4655930,-8.1069430,11.476
305,122.6175681,3.6624611,13.580
306,2.5554778,-30.7329349,12.500
307,249.6453624,53.4767488,8.759
308,201.7985442,36.1377064,8.352
309,169.5525672,78.3799113,15.260
310,69.1374785,-55.5757420,10.003
311,115.3765650,42.6039834,13.323
312,197.2007986,-14.3564518,17.882
313,198.0269481,-3.9983772,13.839
314,289.2199452,30.8686706,17.946
315,49.7157850,12.8937255,9.811
316,238.5054100,-8.6869090,9.911
317,46.0091506,-48.0587516,11.359
318,130.5742299,32.9796947,17.732
319,125.9703977,15.1708489,10.387
320,24.8677461,52.4313626,11.299
321,22.6473672,-10.2301584,13.194
322,248.2623545,1.0298477,13.769
323,301.7673087,5.9631992,13.436
324,324.3065640,24.7089184,12.434
325,208.1443912,-68.7818977,14.784
326,333.0971601,33.2828803,16.030
327,314.3692353,79.0829456,10.128
328,262.6015086,71.2488832,16.533
329,65.8296287,4.5430174,8.581
330,58.7174583,-14.8859345,11.074
331,155.8630771,19.2417998,8.878
332,247.9132274,-3.0155232,16.893
333,23.4725250,-74.8316653,13.653
334,341.6802882,1.7534232,9.267
335,81.8021700,70.6498300,12.989
336,120.8563421,-3.2618067,17.403
337,357.8245639,-17.0207056,9.366
338,165.4374054,-55.5658967,10.447
339,134.3295528,-0.4815835,10.858
340,13.9179193,37.7516012,11.511
341,127.5619893,1.8520682,10.949
342,149.5731677,-28.5121832,9.923
343,165.0604610,41.9662062,10.601
344,117.1846441,57.2596264,16.581
345,218.2074361,72.4669038,12.664
346,340.6466817,-62.6205231,13.631
347,251.5505754,57.4614010,15.826
348,24.7617716,-27.3975782,11.882
349,359.5261525,-23.0084916,12.093
350,330.8111139,-52.2406541,11.298
351,177.9331771,-22.4178928,9.678
352,26.3053533,7.5906022,14.146
353,21.9661502,-7.9303738,17.660
354,18.3348387,-22.4532639,9.560
355,212.3323101,21.8956026,11.266
356,210.3797903,72.5319764,11.824
357,199.2590205,66.0513819,15.026
358,72.5813399,44.2090157,13.615
359,359.4975206,-39.8848326,13.735
360,208.1288769,-37.7096100,17.276
361,249.6806631,-5.8215483,10.643
362,310.7477722,-14.0229368,10.828
363,173.3592343,15.0404089,13.249
364,137.1393103,35.6334898,12.568
365,55.2367824,9.0365899,10.106
366,95.6911514,61.2876354,9.646
367,39.8238002,12.4595081,10.375
368,177.0257396,-17.0562004,10.672
369,175.7531430,-14.7539064,10.257
370,147.3141525,12.5731578,15.983
371,206.3066260,44.0513203,16.813
372,285.8791172,-25.9719670,13.404
373,306.4373648,-75.1659943,17.321
374,64.3509158,22.9668790,10.288
375,98.9575357,62.8937823,17.549
376,260.0186449,62.5493387,13.150
377,108.0706914,-62.5206302,17.924
378,323.4216261,1.4648803,16.313
379,319.1977361,-47.0611935,13.495
380,115.5333577,0.5167695,16.437
381,269.4039610,11.8318174,13.126
382,329.8601257,-46.1082825,13.674
383,137.5703547,-57.9265763,14.880
384,255.8541143,51.4568462,8.120
385,243.7232201,18.4210683,12.780
386,157.6762403,-0.8806187,9.012
387,321.5513369,13.2477603,8.831
388,39.5850582,66.9126360,15.026
389,248.2484781,60.9305784,11.156
390,227.0168583,2.2905378,11.224
391,102.1712533,9.3160354,15.386
392,151.3797058,41.8990017,10.447
393,70.5527046,-64.6301031,14.874
394,175.4770114,-32.5358070,15.582
395,327.7954780,-3.9742000,15.708
396,247.8605614,23.2104931,15.829
397,95.7511985,12.5866464,16.825
398,205.9526690,11.0866013,17.020
399,92.9495974,-28.6993412,17.849
400,242.2480088,-2.5850724,9.484
401,127.5935323,29.9272969,10.063
402,342.3851872,16.8047481,15.852
403,62.4643110,-24.0495144,8.737
404,173.5496679,-9.1507088,12.297
405,90.3264621,8.6837954,8.169
406,89.2173084,-36.9056944,14.724
407,144.4656159,9.2351689,11.697
408,0.1224660,-46.6782413,16.008
409,281.8322108,-34.6338097,12.439
410,156.9615834,-4.5234321,11.203
411,41.5802516,-39.5566535,9.229
412,234.4376349,-56.5803806,13.816
413,142.4327117,-8.5162998,10.739
414,10.5431024,-8.2867607,17.416
415,209.9802824,22.8971743,13.827
416,151.8024627,-56.7831904,13.868
417,243.0307042,67.3732596,8.558
418,173.1126156,49.5299589,15.474
419,11.8719074,-56.1722191,14.410
420,191.2989435,-6.4843679,17.445
421,211.9603416,-16.6755360,16.844
422,349.0606487,32.7487492,14.799
423,144.4336713,2.4107410,10.594
424,291.2711277,49.5132021,14.514
425,315.1164015,-11.1344978,12.050
426,25.9682218,-76.2565291,10.959
427,166.2478664,30.5065986,16.452
428,141.6322205,-28.1291635,9.316
429,269.4858561,2.1621533,17.917
430,215.8915769,43.2553730,8.075
431,244.4647089,-11.7865246,15.666
432,152.1332812,13.5913780,14.471
433,4.7491352,-55.3050383,8.603
434,83.6519010,62.1762062,9.375
435,100.7366736,16.5506741,10.216
436,350.5335748,23.1091696,17.982
437,3.4597911,65.1063109,12.650
438,265.3999261,-49.4678223,14.660
439,337.8239514,53.9383754,14.255
440,91.2994752,-17.0718866,11.536
441,200.4197378,66.3627247,9.928
442,322.0686379,38.0199503,13.102
443,80.8653843,51.2960039,11.439
444,243.2116914,1.7402441,16.676
445,348.8748984,-16.7568067,10.072
446,71.1103941,7.2511828,13.779
447,60.7307398,55.5754529,10.880
448,249.9834070,41.9584001,15.377
449,231.0903817,-82.8087000,11.864
450,260.8678730,-43.1068602,12.512
451,274.4134214,-4.4604602,17.070
452,311.6733632,64.3224822,9.807
453,182.5790727,-32.8390993,11.011
454,69.8452910,-28.8744444,14.669
455,139.3752941,-10.7617920,9.049
456,59.1942254,50.7628352,10.118
457,14.3381302,-30.1786095,8.864
458,216.4800009,0.2035812,9.599
459,341.0030828,-19.0183019,13.828
460,243.8747317,15.9384009,11.366
461,159.1717835,-67.1171788,8.407
462,260.2432196,-40.2621425,14.367
463,27.0029832,-60.7415764,13.080
464,311.7395244,9.9804221,16.842
465,53.4636851,51.8154125,13.408
466,272.7093684,48.6329845,13.096
467,4.6893314,-31.6504760,16.914
468,252.1134102,17.9473314,10.164
469,48.9782773,-38.3877686,12.258
470,88.9419902,79.7982751,16.330
471,344.7722937,-32.3435345,16.426
472,315.9525385,-52.5684458,15.935
473,27.2611067,-12.0103407,14.641
474,23.6362277,-6.7786567,11.164
475,106.6665143,55.7896514,17.741
476,322.0405571,14.5724918,16.975
477,293.5278526,-21.1934169,10.866
478,141.5190576,-36.2224681,14.224
479,210.8191885,-20.4800858,16.423
480,255.2032645,-74.2203666,17.876
481,125.3795450,20.2153347,12.830
482,17.3662091,66.5774612,15.662
483,5.4267352,41.8904013,12.332
484,76.9810516,19.0849624,12.236
485,219.5082687,11.9321054,14.869
486,207.6452119,-29.6828402,16.793
487,164.6669179,-43.1595365,10.679
488,41.8933321,-46.6793887,17.162
489,66.8938338,33.0702955,16.627
490,347.7615564,16.1043375,17.398
491,239.0866450,-76.7294279,14.660
492,278.6520508,77.3754451,9.432
493,244.0670010,62.6619282,9.642
494,108.3421469,38.3782046,13.544
495,352.0078426,-70.9335396,17.992
496,297.2983021,-4.7388224,16.470
497,252.1656088,-54.8256404,16.481
498,329.7159164,37.6166838,15.127
499,69.0899723,23.6448942,14.306
500,76.0398195,38.8322659,15.946
501,222.8923089,14.2197942,13.068
502,60.2937576,-14.6139615,9.861
503,46.4019009,32.9714644,14.229
504,118.0956946,0.4227181,11.466
505,162.0376682,61.8283994,9.583
506,199.8165020,62.7625667,13.933
507,188.9076345,30.2334414,11.673
508,162.6191641,20.3351949,9.294
509,160.3781869,-10.9526882,9.055
510,188.4030299,44.1391513,11.730
511,332.5845564,-57.4623327,9.522
512,273.0167131,-83.9267675,13.461
513,299.6690479,-46.8293961,10.444
514,45.3431189,-47.5859962,11.258
515,316.8292650,-49.9797866,17.487
516,229.1418203,51.6400356,9.560
517,261.9582399,-23.2509363,15.974
518,188.1593130,58.6901017,11.275
519,300.4794111,-46.9444491,17.684
520,153.6585751,-20.1141000,13.473
521,102.5443909,64.1075370,11.117
522,237.7783264,-18.6733086,16.637
523,81.8997124,31.2047047,9.070
524,210.9597569,48.9181106,13.918
525,260.5915142,-40.8835416,17.825
526,157.1989408,19.1685486,17.702
527,316.8780112,12.6888533,9.188
528,310.0446381,44.0780610,12.191
529,166.5599085,-14.7900597,15.739
530,46.2179396,-0.8643961,11.925
531,15.9307471,-10.2998002,14.996
532,313.8540792,72.3135411,16.233
533,111.6244209,-34.6007894,15.448
534,75.5697616,-77.9926129,15.881
535,177.0721781,-21.9368705,16.210
536,321.1388759,-64.2330514,12.804
537,240.0688904,-60.7511400,10.013
538,84.9756811,26.8393613,10.891
539,356.2850978,-32.0496953,14.465
540,25.6499283,-47.3909582,9.501
541,221.3819807,39.2914205,8.967
542,31.6383425,79.4944445,8.070
543,52.3020431,15.8343984,17.532
544,161.7901581,12.0664621,13.632
545,351.3639241,-41.3098801,9.847
546,92.8398888,70.8135177,8.867
547,84.6906793,-10.1191942,17.562
548,248.9753112,-45.2319830,13.473
549,162.2440108,37.6364513,8.795
550,40.7156779,23.2550857,14.484
551,11.1383172,28.9773049,15.217
552,69.4347970,62.1076639,16.438
553,171.3808443,-1.5165945,17.967
554,210.3356883,8.3797250,10.025
555,219.8430450,-71.6951361,8.927
556,71.1396679,-10.6877831,14.905
557,178.2245836,-44.9641339,12.671
558,180.6326153,8.8776491,15.899
559,336.4647953,-38.6046191,16.644
560,142.0724916,3.8612793,11.418
561,269.5499572,18.3490774,12.956
562,250.8165115,-46.1678226,10.910
563,300.3537121,40.6239071,11.387
564,233.9175464,68.4574006,11.156
565,167.3982026,26.0234954,8.258
566,114.4781902,-17.5431279,12.936
567,239.4364973,-14.3051308,15.958
568,3.7350532,-9.4936171,8.201
569,100.9512308,-54.8703209,12.732
570,358.6274004,74.1714837,10.590
571,204.3929164,-10.9903998,11.348
572,279.2223869,-43.7675210,17.508
573,60.3185139,-63.8052510,10.191
574,107.3174369,-31.5217176,9.418
575,198.3338170,-80.2692903,15.485
576,214.2254405,24.6140791,15.560
577,30.0960627,50.9339430,12.463
578,79.0972801,27.5130934,13.543
579,251.4504051,-21.9056736,12.419
580,317.7671621,27.1697562,15.773
581,277.1736104,8.1056129,15.365
582,54.4847395,-28.9876661,12.826
583,15.9943337,-1.1249236,15.311
584,96.0714806,-33.2175973,15.101
585,173.9360687,82.3894140,17.464
586,76.4055788,45.6849104,13.850
587,233.3216404,55.5411210,17.479
588,185.2730265,-53.5599352,12.905
589,242.1577209,49.5405362,16.820
590,115.5395939,-47.7165742,16.905
591,200.5078968,-27.1428620,13.341
592,300.0630504,5.6565284,14.256
593,22.1565823,11.8910221,11.044
594,185.3978959,-53.8307843,9.003
595,113.3480155,-38.2427012,13.613
596,321.7496267,-8.1227079,14.998
597,134.1441827,-67.3044841,17.520
598,252.9496319,6.6097825,17.561
599,131.1776826,-12.2648875,13.267
600,273.6353282,13.2130217,17.257
601,278.6595526,34.3539256,14.500
602,25.2211971,-8.1122358,10.613
603,25.4218033,0.9274934,14.562
604,160.7301363,-9.7669227,13.647
605,49.0492984,-52.4838315,12.647
606,23.2370342,7.9410184,12.178
607,235.7923999,48.6285911,11.032
608,268.6168671,-54.9323159,16.168
609,298.3083066,-34.0379065,8.560
610,211.9920282,57.4631520,13.497
611,164.9287603,-52.2274395,11.854
612,305.7217397,-84.3507186,8.969
613,242.2679216,6.0449513,15.973
614,130.5225027,4.1517321,15.168
615,229.6023430,26.0507335,12.795
616,38.8872229,52.6745144,8.195
617,308.5133110,-1.4111065,17.449
618,347.4826535,26.8080096,12.924
619,307.1418788,-59.5484320,17.490
620,275.8007744,11.7082762,8.923
621,288.7960945,67.1809037,13.625
622,182.8978191,51.4348844,8.350
623,198.2421585,46.6417291,17.565
624,193.0752299,-6.5438190,16.089
625,254.9352724,68.9533492,14.269
626,206.3294962,17.3320912,16.442
627,283.9588927,-45.1890217,13.806
628,246.6351818,-48.8546344,17.396
629,337.7336077,-27.2514503,12.277
630,230.1714327,44.5145164,13.958
631,350.7299162,19.2224872,16.993
632,34.9727241,-46.6857083,14.774
633,357.2283686,66.9255780,9.813
634,53.4915354,34.4085208,11.514
635,282.7884975,-4.6601283,16.613
636,175.3696807,38.8700796,15.835
637,257.8630716,9.4880004,15.229
638,261.4987874,-65.7788485,15.672
639,105.6343026,-44.4731218,9.209
640,195.6000381,0.5455666,13.069
641,140.2468891,63.3062748,8.765
642,285.5602355,-19.3987591,9.982
643,101.7768370,11.2820308,13.898
644,283.4886698,11.3271048,8.346
645,196.4781039,-33.5870948,16.253
646,25.7974257,-32.2945258,12.364
647,101.1191119,-21.2172966,10.214
648,182.7707608,-44.5661942,9.793
649,76.3588978,25.8725094,14.946
650,259.4182725,-35.3056729,14.728
651,105.9084571,-7.4314584,17.051
652,126.2984493,-45.5413355,14.856
653,151.4518478,33.3518494,14.012
654,313.4829919,1.9429604,15.601
655,164.0228518,-62.1992131,14.094
656,272.1581171,-54.8055042,15.421
657,161.9421160,23.2617489,14.975
658,318.8712122,-16.8739234,16.213
659,226.0353327,-58.8993988,17.751
660,344.0198748,51.8084432,8.056
661,249.7315676,-18.1621685,11.960
662,108.2101430,52.8883520,17.904
663,125.9933141,-24.3449224,10.446
664,302.2412268,-12.9838719,15.066
665,20.1094403,-19.5544308,12.543
666,203.0799481,64.3735162,15.108
667,185.2370465,-16.9437423,9.140
668,144.4753036,-4.1411041,8.265
669,318.0550598,-33.9324282,11.037
670,179.2090326,-65.1480595,9.641
671,183.2018778,47.9288741,11.691
672,282.1888903,72.8193202,14.180
673,89.4220668,32.5517846,11.599
674,106.0345090,29.3895814,15.203
675,328.3919793,-0.6347585,15.500
676,352.5444971,19.6962640,16.037
677,321.0804877,-1.3983066,13.647
678,122.3064423,-4.7499311,14.481
679,227.3713608,-6.5275204,14.518
680,217.6362052,-42.2016094,17.410
681,199.5442301,-39.1483329,13.276
682,250.2782289,51.4851729,8.171
683,18.6507017,-79.9580363,13.173
684,93.9389867,-43.3601165,16.897
685,57.4261086,81.9457926,10.693
686,18.7357940,29.5414352,13.970
687,348.6015203,18.0568000,14.699
688,60.5525869,-22.5581908,13.549
689,174.0473977,-58.2191357,14.295
690,26.0996093,7.1377226,17.769
691,55.2497328,20.0997797,16.987
692,67.1484688,21.5828941,9.390
693,79.4263791,-74.0003890,10.703
694,85.0578475,83.7490340,13.862
695,115.6139823,-25.5008508,15.625
696,320.3838767,-15.8394237,9.838
697,322.3374417,34.8068272,14.410
698,120.6158493,-33.4686434,11.589
699,92.1213353,-1.4177147,9.976
700,250.6159947,13.2133139,12.077
701,258.2802143,10.5503473,17.234
702,176.9858171,19.9660461,12.192
703,263.5492330,-7.2225094,10.424
704,231.1223643,-2.9681675,11.052
705,96.8864773,-16.8697789,10.325
706,89.2451462,35.5050439,15.959
707,14.3500263,32.4896733,14.430
708,94.8423723,4.9388113,17.304
709,258.2880719,1.0946653,12.196
710,281.1376090,-31.7603034,12.447
711,32.9645855,-21.3630311,12.374
712,241.5617678,53.5149948,10.997
713,354.5401279,31.1925899,15.245
714,333.5854273,16.7641971,8.832
715,234.6085309,-38.1808702,9.454
716,142.5790702,-41.5282163,8.512
717,354.5082355,38.2564730,15.972
718,47.5942235,-11.0932037,14.871
719,113.3589092,3.9479854,10.521
720,294.7634331,73.4634009,9.659
721,254.8585372,-1.8421571,13.561
722,283.9344202,1.0691784,14.837
723,115.8985943,60.0286117,13.952
724,108.4598005,3.9105033,16.196
725,99.7950817,-45.6581102,12.455
726,26.3501125,-13.1474375,15.130
727,158.9042912,62.1615801,10.632
728,336.9304485,-18.8008605,8.100
729,39.0081498,-17.9458787,12.866
730,286.9618440,16.4830862,11.731
731,195.1934828,6.6074557,12.497
732,80.7537083,49.3025857,14.488
733,5.0339952,84.5934393,17.962
734,221.7323849,33.0728130,13.163
735,112.8936059,28.9192616,9.383
736,245.9433134,-50.3773246,12.788
737,69.9756061,5.9283278,13.795
738,209.4272529,11.4240405,11.110
739,279.2556151,-10.2307331,10.200
740,170.2634658,55.2756689,14.744
741,277.8726244,-10.2111687,13.185
742,346.5463184,-65.6197829,8.526
743,160.8828942,70.5242495,17.546
744,120.4633179,-14.9298557,14.365
745,152.8190871,-13.5104155,17.447
746,312.5740493,-9.3174009,17.860
747,333.9363458,-63.6711161,12.123
748,66.9047494,68.9635150,13.045
749,216.0686479,-20.0360511,11.172
750,145.1674019,23.7717273,17.324
751,357.5392344,-60.0257377,13.126
752,24.7277274,-37.4924841,15.890
753,269.9272976,48.5801091,16.787
754,96.7742651,-26.4329433,10.513
